timestamp_utc,event_type,reference,actual,forecast,unit,source
2025-06-06T12:30:00,NFP,2025-05,139,128,K,TradingCalendar NFP
2025-06-11T12:30:00,CPI_YOY,2025-05,2.4,2.5,%,Investing CPI YoY
2025-07-03T12:30:00,NFP,2025-06,147,111,K,TradingCalendar NFP
2025-07-15T12:30:00,CPI_YOY,2025-06,2.7,2.6,%,Investing CPI YoY
2025-08-01T12:30:00,NFP,2025-07,73,106,K,TradingCalendar NFP
2025-08-12T12:30:00,CPI_YOY,2025-07,2.7,2.8,%,Investing CPI YoY
2025-09-05T12:30:00,NFP,2025-08,22,75,K,TradingCalendar NFP
2025-09-11T12:30:00,CPI_YOY,2025-08,2.9,2.9,%,Investing CPI YoY
2025-10-24T12:30:00,CPI_YOY,2025-09,3.0,3.1,%,Investing CPI YoY
2025-11-20T13:30:00,NFP,2025-09,119,55,K,TradingCalendar NFP
2025-12-16T13:30:00,NFP,2025-11,64,50,K,TradingCalendar NFP
2025-12-18T13:30:00,CPI_YOY,2025-11,2.7,3.1,%,Investing CPI YoY
2026-01-09T13:30:00,NFP,2025-12,50,66,K,TradingCalendar NFP
2026-01-13T13:30:00,CPI_YOY,2025-12,2.7,2.7,%,Investing CPI YoY
2026-02-11T13:30:00,NFP,2026-01,130,66,K,TradingCalendar NFP
2026-02-13T13:30:00,CPI_YOY,2026-01,2.4,2.5,%,Investing CPI YoY
2026-03-06T13:30:00,NFP,2026-02,-92,58,K,TradingCalendar NFP
2026-03-11T12:30:00,CPI_YOY,2026-02,2.4,2.4,%,Investing CPI YoY
2026-04-03T12:30:00,NFP,2026-03,178,56,K,TradingCalendar NFP
2026-04-10T12:30:00,CPI_YOY,2026-03,3.3,3.4,%,Investing CPI YoY
2026-05-08T12:30:00,NFP,2026-04,115,65,K,TradingCalendar NFP
2026-05-12T12:30:00,CPI_YOY,2026-04,3.8,3.7,%,Investing CPI YoY
2026-06-05T12:30:00,NFP,2026-05,172,85,K,TradingCalendar NFP
